"question","answer","category","priority_class"
"Как обновить Power BI?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Почему SberOTP не отображается в Финмаркет?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему не загружается робо-советник?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как настроить налоговый вычет?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Почему налоговый вычет не отображается в СЗР?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как настроить Power BI?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Что делать, если не работает SberOTP?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Как проверить статус маржинальная торговля?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как проверить статус SberOTP?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Почему не загружается Финмаркет?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Как настроить CRM?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как обновить ИнвестПро?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Как обновить DocFlow?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Как обновить дивиденды?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Почему не загружается биржевые фонды?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как обновить ETF?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему KYC не отображается в SberOTP?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Где найти информацию по валютные инструменты?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Как обновить SberOTP?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как исправить проблему с акции?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как исправить проблему с Power BI?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему не загружается деривативы?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Где найти информацию по Финмаркет?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Почему не загружается налоговый вычет?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему в SberOTP ошибка?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как исправить проблему с Confluence?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Что делать, если не работает SharePoint?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему опционы не отображается в CRM?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Как обновить SharePoint?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Что делать, если не работает DocFlow?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Почему Торговец не отображается в профиль риска?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Можно ли использовать Confluence без акции?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Как настроить Торговец?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему не загружается профиль риска?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему DocFlow не отображается в ДИС?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Где найти информацию по деривативы?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему ETF не отображается в маржинальная торговля?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Почему ETF не отображается в CRM?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Можно ли использовать дивиденды без Финмаркет?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Почему ETF не отображается в облигации?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему ДИС не отображается в валютные инструменты?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как проверить статус облигации?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Как исправить проблему с SharePoint?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Почему CRM не отображается в Финмаркет?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Почему в Торговец ошибка?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Что делать, если не работает ИИС?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как настроить СЗР?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Можно ли использовать KYC без деривативы?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему в маржинальная торговля ошибка?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Почему не загружается валютные инструменты?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему акции не отображается в ОФЗ?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Почему в KYC ошибка?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Почему биржевые фонды не отображается в валютные инструменты?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Можно ли использовать ДИС без валютные инструменты?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему DocFlow не отображается в дивиденды?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как проверить статус деривативы?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Почему деривативы не отображается в портфель?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Почему KYC не отображается в опционы?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Как настроить ИнвестПро?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Почему не загружается Торговец?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Почему не загружается CRM?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Почему не загружается DocFlow?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Что делать, если не работает ETF?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Почему не загружается опционы?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Как исправить проблему с облигации?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Как настроить ОФЗ?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Можно ли использовать KYC без KYC?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Что делать, если не работает деривативы?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Почему не загружается KYC?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Почему валютные инструменты не отображается в СЗР?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Можно ли использовать СЗР без валютные инструменты?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Где найти информацию по ИнвестПро?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Как проверить статус налоговый вычет?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как обновить ETF?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Где найти информацию по Торговец?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Почему не загружается SharePoint?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему в портфель ошибка?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Как настроить DocFlow?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Можно ли использовать KYC без СЗР?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Что делать, если не работает Power BI?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Почему в дивиденды ошибка?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Как настроить дивиденды?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Почему в ETF ошибка?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Почему не загружается Power BI?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Что делать, если не работает ИнвестПро?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Почему в маржинальная торговля ошибка?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как настроить Power BI?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как проверить статус ИнвестПро?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Можно ли использовать маржинальная торговля без облигации?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Где найти информацию по SharePoint?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Почему биржевые фонды не отображается в робо-советник?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Что делать, если не работает ДИС?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Почему не загружается Торговец?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Как проверить статус SharePoint?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Где найти информацию по налоговый вычет?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему маржинальная торговля не отображается в облигации?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Можно ли использовать деривативы без Power BI?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Что делать, если не работает Power BI?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Почему SberOTP не отображается в опционы?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как проверить статус валютные инструменты?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Как настроить Финмаркет?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Можно ли использовать биржевые фонды без ETF?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Где найти информацию по профиль риска?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Почему в SharePoint ошибка?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Где найти информацию по CRM?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Что делать, если не работает дивиденды?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Можно ли использовать биржевые фонды без маржинальная торговля?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как исправить проблему с Торговец?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Почему налоговый вычет не отображается в CRM?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Можно ли использовать SharePoint без робо-советник?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Как исправить проблему с валютные инструменты?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Как настроить ИнвестПро?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Почему налоговый вычет не отображается в SharePoint?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как исправить проблему с ETF?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Что делать, если не работает налоговый вычет?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Что делать, если не работает СЗР?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Как настроить робо-советник?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Что делать, если не работает маржинальная торговля?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Где найти информацию по биржевые фонды?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Почему в биржевые фонды ошибка?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему не загружается SberOTP?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Как настроить робо-советник?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему не загружается Power BI?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Где найти информацию по деривативы?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Почему налоговый вычет не отображается в валютные инструменты?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему биржевые фонды не отображается в валютные инструменты?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Где найти информацию по профиль риска?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Где найти информацию по ИИС?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему не загружается Торговец?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Почему профиль риска не отображается в DocFlow?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Как настроить СЗР?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему Power BI не отображается в портфель?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Как обновить маржинальная торговля?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Где найти информацию по деривативы?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему в ETF ошибка?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Как исправить проблему с ДИС?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как обновить ETF?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как настроить профиль риска?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Почему в Торговец ошибка?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Почему в СЗР ошибка?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Где найти информацию по валютные инструменты?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Как исправить проблему с Power BI?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Почему не загружается ETF?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Как исправить проблему с SberOTP?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Почему не загружается портфель?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Можно ли использовать дивиденды без СЗР?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как настроить SharePoint?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Как обновить маржинальная торговля?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему в валютные инструменты ошибка?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Как исправить проблему с SharePoint?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Где найти информацию по профиль риска?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Можно ли использовать ИнвестПро без акции?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как настроить ИнвестПро?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Как проверить статус Финмаркет?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Почему облигации не отображается в профиль риска?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Как настроить Confluence?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как проверить статус биржевые фонды?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Почему профиль риска не отображается в SberOTP?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как исправить проблему с SharePoint?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Почему профиль риска не отображается в KYC?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Можно ли использовать опционы без облигации?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Что делать, если не работает валютные инструменты?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как настроить валютные инструменты?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
